map	w	h	N	nations	ticks	init_sets	init_hash	tick_match	tick_total	hash_match	hash_total	count_match	count_total	troops_match	troops_total	churn_skipped	engine_evictions	reinits	reinit_checked	reinit_agree	dev_claims	first_div	note
pangaea	1000	1000	18	1	1000	yes	yes	10701	10702	754	755	15098	15100	3028	10741	0	0	91	91	91	158273	boundary 103 (engine tick 106): attack owner 2 target 0 troops engine 0x40cd1d8999026114 vs device 0x0000000000000000 (troop arithmetic diverged)	
pangaea	1000	1000	18	2	1000	yes	yes	11082	11083	754	755	15853	15855	3083	11124	0	0	91	91	91	169738	boundary 103 (engine tick 106): attack owner 2 target 0 troops engine 0x40cd1d8999026114 vs device 0x0000000000000000 (troop arithmetic diverged)	
