# ofcuda_matrix cell africa n=488 nations=0 ticks=60
# engine oracle /opt/data/workspaces/skg/ofcuda_matrix/out/matrix/oracle/africa_n488_nat0_t60.dump
# spawn init    /opt/data/workspaces/skg/ofcuda_matrix/out/matrix/refs/africa_a488_nat0.init.txt
# map          /opt/data/workspaces/skg/openfront-ai/openfront/resources/maps/africa (1948x2032, land 2183279 from BYTES)
# engine land from manifest 2183279
### INIT (engine spawn output vs the CUDA spawn/init dump)
init_plane_hash 0x92f9830e35a3aa8d engine_boundary0_hash 0x92f9830e35a3aa8d match yes
per-player owned sets match: yes
engine boundary0 owned_total 25358, port plane owned 25358
BOT 209 sid=211 id=ym8zggo3 spawn_tile=1456175 n_owned=52
BOT 210 sid=212 id=8jahbnpg spawn_tile=975826 n_owned=52
BOT 211 sid=213 id=b0djjiez spawn_tile=2800803 n_owned=52
BOT 212 sid=214 id=s9xysw8i spawn_tile=929775 n_owned=52
BOT 213 sid=215 id=t3s2qgvc spawn_tile=616177 n_owned=52
BOT 214 sid=216 id=aquue8ni spawn_tile=773729 n_owned=52
BOT 215 sid=217 id=u3k8ktyr spawn_tile=1367224 n_owned=52
BOT 216 sid=218 id=i7egn3zz spawn_tile=1304079 n_owned=52
BOT 217 sid=219 id=o3vgfhge spawn_tile=979306 n_owned=52
BOT 218 sid=220 id=m4aem5hx spawn_tile=505356 n_owned=52
BOT 219 sid=221 id=p6i95qgo spawn_tile=841227 n_owned=52
BOT 220 sid=222 id=gvho8qeo spawn_tile=3032128 n_owned=52
BOT 221 sid=223 id=9iatvpoi spawn_tile=590109 n_owned=52
BOT 222 sid=224 id=zd9jsqbj spawn_tile=1319432 n_owned=52
BOT 223 sid=225 id=zw1dwnig spawn_tile=3445416 n_owned=52
BOT 224 sid=226 id=be5xt98q spawn_tile=1088159 n_owned=52
BOT 225 sid=227 id=522b0ju8 spawn_tile=1830651 n_owned=52
BOT 226 sid=228 id=ibxwtyy7 spawn_tile=939655 n_owned=52
BOT 227 sid=229 id=zjhashkb spawn_tile=366944 n_owned=52
BOT 228 sid=230 id=89ttdia6 spawn_tile=2063810 n_owned=52
BOT 229 sid=231 id=6o2o0nvl spawn_tile=1730764 n_owned=52
BOT 230 sid=232 id=xldl70se spawn_tile=729847 n_owned=52
BOT 231 sid=233 id=qrwgzvzz spawn_tile=692944 n_owned=52
BOT 232 sid=234 id=h711p697 spawn_tile=1789295 n_owned=52
BOT 233 sid=235 id=g4ulqqm0 spawn_tile=1290820 n_owned=52
BOT 234 sid=236 id=v18jrx10 spawn_tile=1243399 n_owned=52
BOT 235 sid=237 id=8sd3i7p8 spawn_tile=921236 n_owned=52
BOT 236 sid=238 id=l5o27mtm spawn_tile=1742257 n_owned=52
BOT 237 sid=239 id=b6f6r0t2 spawn_tile=1327884 n_owned=52
BOT 238 sid=240 id=7j5a3pfw spawn_tile=1869452 n_owned=52
BOT 239 sid=241 id=m5sg1z4l spawn_tile=2794490 n_owned=52
BOT 240 sid=242 id=ehpglvfz spawn_tile=1588923 n_owned=52
BOT 241 sid=243 id=wu3zthbo spawn_tile=2648483 n_owned=52
BOT 242 sid=244 id=yeh875u5 spawn_tile=724554 n_owned=52
BOT 243 sid=245 id=8nuwzyn1 spawn_tile=608901 n_owned=52
BOT 244 sid=246 id=t0zwn9eb spawn_tile=1418280 n_owned=52
BOT 245 sid=247 id=8zjwwdck spawn_tile=1197574 n_owned=52
BOT 246 sid=248 id=jwrhd5ij spawn_tile=3124492 n_owned=52
BOT 247 sid=249 id=jyb8rp14 spawn_tile=1155958 n_owned=52
BOT 248 sid=250 id=wl7sxu3v spawn_tile=779191 n_owned=52
BOT 249 sid=251 id=y0r0fu1j spawn_tile=1644459 n_owned=52
BOT 250 sid=252 id=kneohbbr spawn_tile=2779180 n_owned=52
BOT 251 sid=253 id=qc8m814x spawn_tile=1393947 n_owned=52
BOT 252 sid=254 id=ix3jngmf spawn_tile=2105307 n_owned=52
BOT 253 sid=255 id=9mzpcgft spawn_tile=3325092 n_owned=52
BOT 254 sid=256 id=l5z5w588 spawn_tile=862873 n_owned=52
BOT 255 sid=257 id=pt0jqntf spawn_tile=417138 n_owned=52
BOT 256 sid=258 id=2e8alk85 spawn_tile=1682256 n_owned=52
BOT 257 sid=259 id=hwe3kfal spawn_tile=3404951 n_owned=52
BOT 258 sid=260 id=47li627l spawn_tile=3624539 n_owned=52
BOT 259 sid=261 id=3asdumaj spawn_tile=1042606 n_owned=52
BOT 260 sid=262 id=l75txeu7 spawn_tile=1242455 n_owned=52
BOT 261 sid=263 id=tbcz7mf1 spawn_tile=2052635 n_owned=52
BOT 262 sid=264 id=o1ilw638 spawn_tile=2609374 n_owned=52
BOT 263 sid=265 id=la4ytzgl spawn_tile=1988055 n_owned=52
BOT 264 sid=266 id=in2bq49j spawn_tile=2040501 n_owned=52
BOT 265 sid=267 id=5irnw7ij spawn_tile=1362343 n_owned=52
BOT 266 sid=268 id=noxeflvy spawn_tile=2130126 n_owned=52
BOT 267 sid=269 id=8gn7568f spawn_tile=1502614 n_owned=52
BOT 268 sid=270 id=5c1omdu5 spawn_tile=1822749 n_owned=52
BOT 269 sid=271 id=yc2b3pvx spawn_tile=889063 n_owned=52
BOT 270 sid=272 id=lml55dcl spawn_tile=1040117 n_owned=52
BOT 271 sid=273 id=1o5etbis spawn_tile=1298406 n_owned=52
BOT 272 sid=274 id=bulnhjw5 spawn_tile=2020971 n_owned=52
BOT 273 sid=275 id=c6y4cfry spawn_tile=3460977 n_owned=52
BOT 274 sid=276 id=kbpw8sak spawn_tile=1401148 n_owned=52
BOT 275 sid=277 id=65e8qmsr spawn_tile=1303103 n_owned=52
BOT 276 sid=278 id=furhe0mp spawn_tile=473034 n_owned=52
BOT 277 sid=279 id=92npvjrt spawn_tile=2292444 n_owned=52
BOT 278 sid=280 id=c56xdfdl spawn_tile=1141605 n_owned=52
BOT 279 sid=281 id=jul4zb4e spawn_tile=1927578 n_owned=52
BOT 280 sid=282 id=mpuzdlvw spawn_tile=627645 n_owned=52
BOT 281 sid=283 id=plrlx715 spawn_tile=154702 n_owned=52
BOT 282 sid=284 id=yl9vsjpk spawn_tile=1563733 n_owned=52
BOT 283 sid=285 id=mkfgkn7r spawn_tile=1400217 n_owned=52
BOT 284 sid=286 id=v5nlafkw spawn_tile=1436150 n_owned=52
BOT 285 sid=287 id=2p3gb961 spawn_tile=2140214 n_owned=52
BOT 286 sid=288 id=uc4jshlt spawn_tile=210307 n_owned=52
BOT 287 sid=289 id=6xdips73 spawn_tile=978845 n_owned=52
BOT 288 sid=290 id=fqxqj0bu spawn_tile=1664513 n_owned=52
