choppingblock	16x	404x404	87035	87035	0xd87af9f0748770fd	OK
conakry	normal	2456x1000	1108371	1108371	0xc3eff4a6b55791c3	OK
conakry	4x	1228x500	272605	272605	0xaf0d6fc7295038b6	OK
conakry	16x	614x250	65998	65998	0xf5489d8f96d789a9	OK
danishstraits	normal	872x1224	587312	587312	0x7820033d5bee5813	OK
danishstraits	4x	436x612	142124	142124	0xbefc002985f2ac02	OK
danishstraits	16x	218x306	33817	33817	0xeb870ae13eae034e	OK
deglaciatedantarctica	normal	2300x1840	1079790	1079790	0xe0793d07e1289dfa	OK
deglaciatedantarctica	4x	1150x920	261659	261659	0xe450e3048469aee3	OK
deglaciatedantarctica	16x	575x460	62082	62082	0x3f79924c98c601dd	OK
didier	normal	1500x1348	1122321	1122321	0x37b198e30eafd36d	OK
didier	4x	750x674	278357	278357	0x032d357e312b33b2	OK
didier	16x	375x337	68539	68539	0x767737b5cc63635f	OK
didierfrance	normal	2100x2248	2303633	2303633	0x8334759d56e1aa3a	OK
didierfrance	4x	1050x1124	571849	571849	0x51a1e9b2df426af9	OK
didierfrance	16x	525x562	141149	141149	0xdb81a25fdfbc87ac	OK
dyslexdria	normal	3080x1344	1893666	1893666	0x72413cc683385a04	OK
dyslexdria	4x	1540x672	458343	458343	0x3ef8e259a67e97d0	OK
dyslexdria	16x	770x336	108442	108442	0x13b5a31a86102e55	OK
eastasia	normal	1560x1644	879264	879264	0x717e72e9b1abed63	OK
eastasia	4x	780x822	214937	214937	0x20e3bb64fcaf2f81	OK
eastasia	16x	390x411	51649	51649	0xdac3eadd1ecc564d	OK
europe	normal	2904x1672	2345907	2345907	0x51959f0acc2f82ba	OK
europe	4x	1452x836	568335	568335	0x026bad3c092c2e5c	OK
europe	16x	726x418	134751	134751	0xa9c4b3cbb73239dc	OK
europeclassic	normal	2000x1000	1008469	1008469	0x20f95d0114d2a48a	OK
europeclassic	4x	1000x500	248492	248492	0x312399d552f98159	OK
europeclassic	16x	500x250	60624	60624	0x7111221c994b780b	OK
falklandislands	normal	2100x1400	746474	746474	0x7e8ca13eff112a91	OK
falklandislands	4x	1050x700	178970	178970	0xe09816c43136fcc0	OK
falklandislands	16x	525x350	42072	42072	0x600b6f5503cce934	OK
faroeislands	normal	1600x2000	424994	424994	0xbd9f4589ceeb7e90	OK
faroeislands	4x	800x1000	103090	103090	0x61aa61267235167c	OK
faroeislands	16x	400x500	24378	24378	0x1538e48e87663df9	OK
fourislands	normal	1500x1500	517044	517044	0xe3213cbb88e84745	OK
fourislands	4x	750x750	127635	127635	0xae85b04a070382c9	OK
fourislands	16x	375x375	31134	31134	0x76f0d48a451b9151	OK
gatewaytotheatlantic	normal	2216x1968	2239824	2239824	0x76eafdf188236a11	OK
gatewaytotheatlantic	4x	1108x984	554984	554984	0x47cff8d25544a6f3	OK
gatewaytotheatlantic	16x	554x492	136293	136293	0xd405424f31aaa613	OK
giantworldmap	normal	4108x1948	2335403	2335403	0xb2f4fcf9ca6ec115	OK
giantworldmap	4x	2054x974	563303	563303	0x0b698df18ac051aa	OK
giantworldmap	16x	1027x487	132766	132766	0xe5ea2bfa423beeb9	OK
greatlakes	normal	2000x1300	1938051	1938051	0xd858bdae5fd9d363	OK
greatlakes	4x	1000x650	476259	476259	0x56bd35f9965c1b2a	OK
greatlakes	16x	500x325	115497	115497	0x41413f0dede096af	OK
gulfofstlawrence	normal	1620x1348	874011	874011	0x1688ea5106416086	OK
gulfofstlawrence	4x	810x674	212526	212526	0x1e30bc7ec6468149	OK
gulfofstlawrence	16x	405x337	50845	50845	0x4dcd6cef02421e19	OK
halkidiki	normal	2200x1760	1728899	1728899	0xa1dbd087c3816b49	OK
halkidiki	4x	1100x880	427883	427883	0x062e31a309b2bb44	OK
halkidiki	16x	550x440	105020	105020	0x70e369497e0bb217	OK
hawaii	normal	3200x2076	408264	408264	0x8494cf163acd0dcc	OK
hawaii	4x	1600x1038	100951	100951	0x93eec15fa93ae1e7	OK
hawaii	16x	800x519	24703	24703	0x80a8df9b4e81dc3d	OK
hongkong	normal	2780x1996	2260689	2260689	0x6bafbddbed53b841	OK
hongkong	4x	1390x998	557907	557907	0xbcf253fa53b8b3d0	OK
hongkong	16x	695x499	136157	136157	0x64b1d914e34f646e	OK
iceland	normal	2000x1500	1069645	1069645	0x7d400c9d5896eabb	OK
