# ofcuda_matrix cell onion n=488 nations=0 ticks=60
# engine oracle /opt/data/workspaces/skg/ofcuda_matrix/out/matrix/oracle/onion_n488_nat0_t60.dump
# spawn init    /opt/data/workspaces/skg/ofcuda_matrix/out/matrix/refs/onion_a488_nat0.init.txt
# map          /opt/data/workspaces/skg/openfront-ai/openfront/resources/maps/onion (512x512, land 210555 from BYTES)
# engine land from manifest 210555
### INIT (engine spawn output vs the CUDA spawn/init dump)
init_plane_hash 0x0544019e73d55172 engine_boundary0_hash 0x0544019e73d55172 match yes
per-player owned sets match: yes
engine boundary0 owned_total 15655, port plane owned 15655
BOT 68 sid=70 id=aehphxxq spawn_tile=78923 n_owned=52
BOT 69 sid=71 id=r69884b7 spawn_tile=11793 n_owned=52
BOT 70 sid=72 id=1fi956n2 spawn_tile=74382 n_owned=52
BOT 71 sid=73 id=x0s75hnx spawn_tile=27486 n_owned=52
BOT 72 sid=74 id=jjcxe8w7 spawn_tile=65083 n_owned=52
BOT 73 sid=75 id=pa9du0an spawn_tile=61406 n_owned=52
BOT 74 sid=76 id=wr1iodtv spawn_tile=242719 n_owned=52
BOT 75 sid=77 id=q4t061qn spawn_tile=44559 n_owned=52
BOT 76 sid=78 id=5walu3qw spawn_tile=66662 n_owned=52
BOT 77 sid=79 id=9qsdvg22 spawn_tile=52605 n_owned=52
BOT 78 sid=80 id=kxhibxlj spawn_tile=254282 n_owned=52
BOT 79 sid=81 id=3lvh3hh1 spawn_tile=231701 n_owned=52
BOT 80 sid=82 id=hhxd8zhc spawn_tile=113444 n_owned=52
BOT 81 sid=83 id=68hvehkn spawn_tile=77229 n_owned=52
BOT 82 sid=84 id=0ysk38le spawn_tile=146490 n_owned=52
BOT 83 sid=85 id=p9mtmjen spawn_tile=41026 n_owned=52
BOT 84 sid=86 id=vtv2qiiq spawn_tile=54779 n_owned=52
BOT 85 sid=87 id=npcd7vse spawn_tile=107119 n_owned=52
BOT 86 sid=88 id=fyrg30wr spawn_tile=195100 n_owned=52
BOT 87 sid=89 id=qg4cg39i spawn_tile=155543 n_owned=52
