cell	map	W	H	aspect	frames	out_px	terrain_ok
pangaea_n18_nat1_t60	pangaea	1000	1000	1.0000	61	800x800	yes
pangaea_n18_nat2_t60	pangaea	1000	1000	1.0000	61	800x800	yes
