# name	size=normal dims	land	terrain_fnv1a64	cuda_status	cuda==engine_ref
surrounded	1976x1976	767607	0xe16d2e09da0f71d4	OK	MISMATCH
svalmel	1700x1580	1011623	0xd49acaed426ed3b3	OK	MISMATCH
taiwanstrait	1600x1600	907469	0xdfd9a80843699974	OK	MISMATCH
thebox	2048x2048	4194304	0xf1d8cf5294222325	OK	MISMATCH
tierradelfuego	2504x1664	2193158	0x9e5aaf6138102df7	OK	MISMATCH
titan	1232x2160	1627144	0x1e4d1996fe7f9b45	OK	MISMATCH
tourney1	1500x1500	984577	0x9666d90761219636	OK	MISMATCH
tourney2	1500x1500	1024327	0x82e7e0e3439d5fdc	OK	MISMATCH
tourney3	1500x1500	1008007	0x5d870e98cb065149	OK	MISMATCH
tourney4	1500x1500	905705	0xcc32b0818acde88a	OK	MISMATCH
tradersdream	2200x1920	972041	0x768f4da073c5cd90	OK	MISMATCH
twolakes	2100x1840	3426935	0x16ab7de976d5c525	OK	MISMATCH
unitedstates	2800x1548	2585893	0x0357b1ee80165d62	OK	MISMATCH
venice	2000x1500	823860	0xf5a72510a75bbb5a	OK	MISMATCH
warshipwarship	3000x1396	1122343	0x27ec0ee2f3c05950	OK	MISMATCH
world	2000x1000	651569	0xf46bd55d2054841a	OK	MISMATCH
worldinverted	2500x1248	1561762	0xc644359365e27974	OK	MISMATCH
yellowsea	1500x1152	1042745	0xf8cc06a9bc164a79	OK	MISMATCH
yenisei	1200x1500	1207315	0x6ee8fb77f99cb14a	OK	MISMATCH
