# ofcuda_matrix spawn ceiling (largest N where EVERY bot places)
# seed parity difficulty Easy human_agents 1
map	ceiling
pangaea	449
africa	449
europe	449
world	449
amazonriver	449
thebox	449
onion	285
giantworldmap	449
passage	449
mississippiriver	449
